iter	Passed	Remaining
401	19760	29394
402	19808	29344
403	19850	29284
404	19897	29231
405	19947	29184
406	20009	29153
407	20079	29135
408	20151	29119
409	20208	29081
410	20269	29047
411	20322	29004
412	20370	28952
413	20414	28896
414	20458	28839
415	20507	28789
416	20554	28736
417	20598	28680
418	20651	28635
419	20699	28585
420	20751	28538
421	20794	28481
422	20840	28428
423	20900	28393
424	20964	28363
425	21005	28303
426	21057	28257
427	21097	28196
428	21146	28145
429	21192	28092
430	21240	28040
431	21292	27995
432	21343	27949
433	21400	27909
434	21445	27854
435	21499	27811
436	21551	27765
437	21598	27712
438	21646	27662
439	21698	27616
440	21758	27580
441	21806	27529
442	21857	27482
443	21911	27438
444	21961	27390
445	22011	27342
446	22067	27301
447	22111	27243
448	22166	27201
449	22222	27160
450	22270	27109
451	22322	27063
452	22383	27028
453	22435	26981
454	22480	26927
455	22531	26879
456	22577	26826
457	22626	26776
458	22677	26729
459	22733	26687
460	22788	26644
461	22845	26604
462	22892	26550
463	22940	26500
464	22985	26445
465	23042	26404
466	23109	26375
467	23161	26329
468	23203	26270
469	23255	26224
470	23303	26173
471	23356	26127
472	23412	26085
473	23458	26032
474	23515	25990
475	23571	25948
476	23621	25899
477	23669	25848
478	23722	25802
479	23773	25754
480	23835	25718
481	23895	25680
482	23945	25630
483	23994	25581
484	24047	25534
485	24101	25490
486	24152	25441
487	24192	25382
488	24248	25339
489	24297	25289
490	24348	25240
491	24399	25193
492	24460	25154
493	24510	25105
494	24563	25059
495	24617	25014
496	24668	24966
497	24744	24943
498	24806	24905
499	24865	24865
500	24938	24838
501	24996	24797
502	25060	24761
503	25111	24712
504	25163	24664
505	25205	24607
506	25254	24556
507	25304	24507
508	25352	24456
509	25410	24413
510	25468	24371
511	25520	24324
512	25583	24286
513	25636	24240
514	25701	24204
515	25756	24159
516	25822	24124
517	25877	24079
518	25943	24044
519	25998	23998
520	26047	23947
521	26117	23916
522	26185	23882
523	26240	23836
524	26306	23800
525	26379	23772
526	26444	23734
527	26508	23696
528	26564	23652
529	26624	23610
530	26674	23560
531	26732	23516
532	26787	23470
533	26851	23431
534	26917	23395
535	26977	23353
536	27040	23314
537	27102	23274
538	27167	23235
539	27228	23194
540	27292	23155
541	27345	23107
542	27397	23058
543	27456	23014
544	27514	22970
545	27577	22930
546	27625	22877
547	27679	22830
548	27742	22790
549	27797	22743
550	27850	22694
551	27896	22640
552	27944	22587
553	27994	22536
554	28045	22486
555	28097	22437
556	28156	22393
557	28212	22347
558	28270	22302
559	28317	22249
560	28372	22202
561	28432	22158
562	28490	22114
563	28567	22084
564	28628	22041
565	28708	22013
566	28789	21985
567	28864	21953
568	28933	21916
569	29016	21889
570	29094	21859
571	29166	21824
572	29235	21786
573	29319	21759
574	29390	21723
575	29459	21685
576	29545	21659
577	29657	21653
578	29745	21628
579	29850	21615
580	29970	21613
581	30059	21589
582	30141	21558
583	30234	21537
584	30304	21498
585	30391	21471
586	30492	21454
587	30574	21422
588	30666	21398
589	30762	21377
590	30852	21351
591	30948	21329
592	31035	21301
593	31126	21274
594	31227	21255
595	31300	21217
596	31371	21176
597	31429	21128
598	31497	21086
599	31557	21038
600	31640	21006
601	31715	20968
